,Name of Startup,Link,City
0,AppiVa Software Pvt Ltd,https://appiva.in/,Bangalore
1,AskSid Technology Solutions Private Limited,https://www.asksid.ai/,Bangalore
2,Backbench Internet Services Private Limited,https://backbench.io/,Bangalore
3,BigTrade Infosystems Pvt Ltd,http://bigtrade.co/,Bangalore
4,Bombay Play Private Limited,https://www.bombayplay.com/,Bangalore
5,Canopi India Private Limited,https://canopi.in/,Bangalore
6,Collobe Technologies Private Limited,#,Bangalore
7,Comprinno Technologies Pvt. Ltd.,https://tevi.co/,Bangalore
8,Credolys Tech Private Limited,https://dusterboard.com/,Bangalore
9,Doctto Online Healthcare Innovation Pvt. Ltd.,https://docttocare.com/,Bangalore
10,Ecobillz Private Limited,https://www.ecobillz.com,Bangalore
11,EveryCrave Webteck Pvt Ltd,https://livewire.live/,Bangalore
12,Fabrik by Augtual Reality Labs Pvt. Ltd.,http://fabrik.space/,Bangalore
13,Farms2fork Technologies Pvt. Ltd.,http://www.cultyvate.com/,Bangalore
14,Getpy analytics private ltd,http://www.pytechno.com/,Bangalore
15,Giscle Systems,#,Bangalore
16,Headway.ai,#,Bangalore
17,Innowave E Ventures Pvt. Ltd.,https://dressire.com/,Bangalore
18,Jungroo Learning Private Limited,https://www.jungroo.com/,Bangalore
19,Juntrax Solutions,http://www.juntrax.com/,Bangalore
20,Kotumb Digital Empowerment and Career Pvt Ltd,https://www.kotumb.in/,Bangalore
21,LM Voice Technologies,http://www.waani.io/,Bangalore
22,Load Multiplier Pvt Ltd,https://loadmultiplier.com/,Bangalore
23,Merak Software Solutions Private Limited,https://www.merak.ai/,Bangalore
24,Mobi Enable Solutions Pvt. Ltd.,http://www.anytimelearn.in/,Bangalore
25,MOOVLEE,http://www.moovlee.com/,Bangalore
26,MQuotient,http://www.mquotient.net/,Bangalore
27,NOOS TECHNOLOGIES PVT LTD,http://www.noostechnologies.com/,Bangalore
28,OWeSee Cloud Communications Pvt. Ltd,http://www.owesee.com/,Bangalore
29,Pasfar Technologies Private Limited,https://www.cashfree.com/,Bangalore
30,Pasfar Technologies Pvt Ltd,https://www.cashfree.com/,Bangalore
31,PROJECTCATALYST INTERNET PRIVATE LIMITED,https://www.jiny.io/,Bangalore
32,Prudle Labs,http://www.prudlelabs.com/,Bangalore
33,Purple Cues Private Limited,#,Bangalore
34,Purple Cues Pvt Ltd,#,Bangalore
35,RadiiusCard Solutions Private Limited,http://www.radiiuscorp.com/,Bangalore
36,Securelifevault Technologies Private Limited,https://securelifevault.com/,Bangalore
37,Shuhari Tech Ventures,https://nirafinance.com/,Bangalore
38,Stanzatek Soltuions LLP,http://www.stanzatek.com/,Bangalore
39,The Pine Tree LLP,https://thepinetree.co/,Bangalore
40,Ubiqare Health Pvt Limited,https://ubiqare.in/,Bangalore
41,Vahmine Technologies Pvt. Ltd.,http://www.toolyt.com/,Bangalore
42,Valuevest,https://www.piggy.co.in/,Bangalore
43,Vismaya Social Innovations Pvt. Ltd.,http://www.vismayaonline.com/,Bangalore
44,Vitor Healthsciences Pvt. Ltd.,https://vitorhealth.com/,Bangalore
45,Apptino,http://www.apptino.com,Chennai
